"species","model","value","metric"
"4pc_009","Regression","0.00305636747879986","AUC"
"4pc_009","Regression","0.00393501495530836","COR"
"4pc_009","Equal-sample","0.010815925071664","AUC"
"4pc_009","Equal-sample","0.0350872423437626","COR"
"4pc_009","Default","0.00372633130753652","AUC"
"4pc_009","Default","0.0047249630784505","COR"
"4pc_009","Down-sample","0.00118626768779846","AUC"
"4pc_009","Down-sample","0.00395897816692483","COR"
"4pc_009","Weighted","0.0045754793471646","AUC"
"4pc_009","Weighted","0.00453083164044628","COR"
"4pc_009","Ranger","0.000574968923452527","AUC"
"4pc_009","Ranger","0.00280860032396423","COR"
"4pc_009","Ranger-tuned","0.00493003296249142","AUC"
"4pc_009","Ranger-tuned","0.0235435972027593","COR"
