"species","model","value","metric"
"4pc_097","Regression","0.00247651042673721","AUC"
"4pc_097","Regression","0.00221509050335262","COR"
"4pc_097","Equal-sample","0.00517741686786166","AUC"
"4pc_097","Equal-sample","0.00920129515982279","COR"
"4pc_097","Default","0.00370969611877815","AUC"
"4pc_097","Default","0.00126053116556583","COR"
"4pc_097","Down-sample","0.000668020807515193","AUC"
"4pc_097","Down-sample","0.00133421227627689","COR"
"4pc_097","Weighted","0.0049858121417204","AUC"
"4pc_097","Weighted","0.00203694711089674","COR"
"4pc_097","Ranger","0.000606644111772185","AUC"
"4pc_097","Ranger","0.00224860418945966","COR"
"4pc_097","Ranger-tuned","0.00310881276199606","AUC"
"4pc_097","Ranger-tuned","0.0065481729078378","COR"
