"species","model","value","metric"
"4pc_076","Regression","0.00263279610231943","AUC"
"4pc_076","Regression","0.00344387631811421","COR"
"4pc_076","Equal-sample","0.00374343831547615","AUC"
"4pc_076","Equal-sample","0.00897013428791578","COR"
"4pc_076","Default","0.00305810707598371","AUC"
"4pc_076","Default","0.00622457186559464","COR"
"4pc_076","Down-sample","0.000615955431953573","AUC"
"4pc_076","Down-sample","0.00182998797608098","COR"
"4pc_076","Weighted","0.00298483543353169","AUC"
"4pc_076","Weighted","0.00626374697563421","COR"
"4pc_076","Ranger","0.000668149745750987","AUC"
"4pc_076","Ranger","0.000861243689226524","COR"
"4pc_076","Ranger-tuned","0.000285787068545912","AUC"
"4pc_076","Ranger-tuned","0.000659043367906424","COR"
