"species","model","value","metric"
"4pc_096","Regression","0.00612208167630987","AUC"
"4pc_096","Regression","0.00237883934785437","COR"
"4pc_096","Equal-sample","0.0141963484254783","AUC"
"4pc_096","Equal-sample","0.0351942851395733","COR"
"4pc_096","Default","0.00484534690515305","AUC"
"4pc_096","Default","0.00342634781243512","COR"
"4pc_096","Down-sample","0.00346810979648567","AUC"
"4pc_096","Down-sample","0.00853031451585725","COR"
"4pc_096","Weighted","0.00288657807139247","AUC"
"4pc_096","Weighted","0.004485161735826","COR"
"4pc_096","Ranger","0.00103683245010339","AUC"
"4pc_096","Ranger","0.00311746588472363","COR"
"4pc_096","Ranger-tuned","0.00080804819383296","AUC"
"4pc_096","Ranger-tuned","0.00318090659511211","COR"
