"species","model","value","metric"
"4pc_099","Regression","0.00307571028778853","AUC"
"4pc_099","Regression","0.0112687271020951","COR"
"4pc_099","Equal-sample","0.0109920568395534","AUC"
"4pc_099","Equal-sample","0.028359434822569","COR"
"4pc_099","Default","0.00445715934144415","AUC"
"4pc_099","Default","0.00522737321666724","COR"
"4pc_099","Down-sample","0.00234683631848264","AUC"
"4pc_099","Down-sample","0.00591030362828352","COR"
"4pc_099","Weighted","0.00304246985399125","AUC"
"4pc_099","Weighted","0.00618560436986883","COR"
"4pc_099","Ranger","0.000718164009793565","AUC"
"4pc_099","Ranger","0.00258301365588015","COR"
"4pc_099","Ranger-tuned","0.00085848687020152","AUC"
"4pc_099","Ranger-tuned","0.00379796652837102","COR"
